,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
0,https://www.immowelt.de/expose/2efcg5p,2efcg5p,240459a,apartment,IMMOBERLIN.DE - Attraktive Wohnung mit Balkonloggia in Südrichtung + Tiefgaragenplatz,Falkensee,Straße nicht freigegeben,14612,blank,blank,Gewerblicher Anbieter,2,63 m²,blank,285.000 €,blank,blank,blank,blank,blank,blank,blank,blank,IMMOBERLIN Inhaber Carsten D. Topel,blank,blank,blank,brandenburg,2024-06-16 09:09:50
1,https://www.immowelt.de/expose/2e8sp5b,2e8sp5b,230215 f,apartment,IMMOBERLIN.DE - Adrette Dachgeschosswohnung mit 3 Balkons + 2 Pkw-Stellplätzen in grüner Ruhiglage am Potsdamer Stadtrand,Nuthetal(Bergholz-Rehbrücke),Straße nicht freigegeben,14558,blank,blank,Gewerblicher Anbieter,3,83 m²,blank,299.000 €,blank,blank,D,Wohngebäude,Verbrauchsausweis,blank,"110,00 kWh/(m²·a)  - Warmwasser enthalten",Erdgas leicht,IMMOBERLIN Inhaber Carsten D. Topel,blank,blank,blank,brandenburg,2024-06-16 09:09:55
2,https://www.immowelt.de/expose/2dy495v,2dy495v,KIG  10814,apartment,Altersgerechte Erdgeschoss-Komfortwohnung mit Kaminofen u. Sonnenterrasse in Toplage!,Hohen Neuendorf,Straße nicht freigegeben,16540,1995,blank,Gewerblicher Anbieter,2,90 m²,blank,365.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,07.03.2024 bis 01.03.2034,"124,44 kWh/(m²·a)  - Warmwasser enthalten",GAS,Klug Immobilien GmbH,blank,Terrassenwohnung,ab sofort,brandenburg,2024-06-16 09:09:58
3,https://www.immowelt.de/expose/2dmnx5p,2dmnx5p,blank,apartment,Investieren in der Boomregion! - Mikroapartments in Neuruppin,Neuruppin,An der Seepromenade 3A,16816,2023,blank,Gewerblicher Anbieter,1,30 m²,blank,178.000 €,blank,Fußbodenheizung,B,Wohngebäude,Bedarfsausweis,08.08.2020 bis 01.09.2032,"64,00 kWh/(m²·a)",Fernwärme,PRIMUS Facility Service GmbH,Neubau,Apartment,2024,brandenburg,2024-06-16 09:10:01
4,https://www.immowelt.de/expose/2dzlg5j,2dzlg5j,191732,apartment,EXKLUSIV WOHNEN DIREKT AM KURPARK! TRAUMHAFTE WOHNUNG!,Bad Saarow(Bad Saarow-Pieskow),Straße nicht freigegeben,15526,2019,1. Geschoss,Gewerblicher Anbieter,3,128 m²,blank,595.000 €,blank,Fußbodenheizung,C,Wohngebäude,Bedarfsausweis,bis 31.10.2028,"76,30 kWh/(m²·a)",FERN,BBI Berlin-Brandenburg-Immobilien GmbH,gepflegt,blank,n. Vereinbarung,brandenburg,2024-06-16 09:10:04
5,https://www.immowelt.de/expose/2bc4h5v,2bc4h5v,STO 05.G,apartment,"## 4-Zi-Whg. mit Seezugang vom hauseigenen Boossteg, Gartensauna. Neubau in Bestlage am Storkower See – Hubertushöhe, Südbalkon mit Seeblick",Grünheide (Mark),Straße nicht freigegeben,15537,2023,1. Geschoss,Gewerblicher Anbieter,4,"111,98 m²",blank,838.800 €,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe, Zentralheizung",A,Wohngebäude,Bedarfsausweis,seit 16.10.2020,"35,00 kWh/(m²·a)",blank,Dresden Haus GmbH & Co. KG,Erstbezug,blank,11/2023,brandenburg,2024-06-16 09:10:07
6,https://www.immowelt.de/expose/26t225d,26t225d,50017_WE_302,apartment,3-Zimmer Wohnung mit durchdachtem Wohnkomfort im attraktiven Neubau-Quartier,Schönefeld,Rathausgasse 21,12529,blank,5. Geschoss,Gewerblicher Anbieter,3,"77,33 m²",blank,344.800 €,blank,blank,blank,blank,blank,blank,blank,blank,BUWOG Bauträger GmbH,blank,blank,blank,brandenburg,2024-06-16 09:10:09
7,https://www.immowelt.de/expose/26kpz5c,26kpz5c,50017_WE_250,apartment,Jetzt einziehen und wohlfühlen! Attraktive 3-Zimmer Wohnung in toller Lage,Schönefeld,Rathausgasse 27,12529,blank,3. Geschoss,Gewerblicher Anbieter,3,"78,04 m²",blank,340.300 €,blank,blank,blank,blank,blank,blank,blank,blank,BUWOG Bauträger GmbH,blank,blank,blank,brandenburg,2024-06-16 09:10:15
8,https://www.immowelt.de/expose/268lz5c,268lz5c,50017_WE_221,apartment,Ziehen Sie direkt ein! Traumhafte 3-Zimmer Wohnung in schöner Lage zum Wohlfühlen!,Schönefeld,Rathausgasse 17,12529,blank,1. Geschoss,Gewerblicher Anbieter,3,"85,15 m²",blank,367.200 €,blank,blank,blank,blank,blank,blank,blank,blank,BUWOG Bauträger GmbH,blank,blank,blank,brandenburg,2024-06-16 09:10:18
9,https://www.immowelt.de/expose/264my58,264my58,50017_WE_328,apartment,Wohntraum auf ca. 77 m²! Tolle 3-Zimmer Wohnung mit Dachterrasse,Schönefeld,Rathausgasse 19,12529,blank,6. Geschoss,Gewerblicher Anbieter,3,"77,65 m²",blank,340.300 €,blank,blank,blank,blank,blank,blank,blank,blank,BUWOG Bauträger GmbH,blank,blank,blank,brandenburg,2024-06-16 09:10:20
