,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
0,https://www.immowelt.de/expose/2c5mp5p,2c5mp5p,0-1886,apartment,Qualitativ hochwertige Neubauwohnungen  in Ahnatal-Weimar 33m²  bis 180m² Wohnfläche - Provisionsfrei!,Ahnatal(Weimar),Straße nicht freigegeben,34292,2024,1. Geschoss,Gewerblicher Anbieter,1,"33,69 m²",blank,149.000 €,blank,Fußbodenheizung,blank,blank,blank,blank,blank,blank,Volksbank Kassel Göttingen eG,Neubau,blank,nach Rücksprache,hessen,2024-06-17 14:53:16
1,https://www.immowelt.de/expose/2enjt5s,2enjt5s,FAFE11,apartment,++BESTPREIS++ MIET-/ENERGIESPAREND Neubau 4 ZKB altersgerecht,Gießen,"Fortweg 16, 35463 Fernwald (Gießen)",35390,2024,2. Geschoss (Dachgeschoss),Gewerblicher Anbieter,4,106 m²,blank,auf Anfrage,blank,"Etagenheizung, Fußbodenheizung",B,Wohngebäude,Bedarfsausweis,24.04.2024 bis 24.04.2034,"59,90 kWh/(m²·a)",Fernwärme,EFM Management AG,Erstbezug,Penthouse,30.06.2025,hessen,2024-06-17 14:53:19
2,https://www.immowelt.de/expose/2enat5s,2enat5s,905,apartment,PENTHOUSE IN TAUNUSSTEIN! Privatsphäre - Stellplatz - Sauna,Taunusstein / Hahn,Straße nicht freigegeben,65232,1975,8. Geschoss,Gewerblicher Anbieter,4,131 m²,blank,328.250 €,blank,Zentralheizung,C,Wohngebäude,Verbrauchsausweis,bis 28.07.2031,"85,10 kWh/(m²·a)",OEL,SOMMER IMMOBILIEN,gepflegt,Penthouse,Nach Vereinbarung,hessen,2024-06-17 14:53:23
3,https://www.immowelt.de/expose/2edlm5r,2edlm5r,0-10426,apartment,Barrierearme 1-Zimmer-ETW in der Kasseler Weststadt / Harleshausen - sofort frei-,Kassel(Harleshausen),Straße nicht freigegeben,34128,1973,blank,Gewerblicher Anbieter,1,"34,45 m²",blank,69.000 €,Elektro,blank,C,Wohngebäude,Bedarfsausweis,24.07.2019 bis 23.07.2029,"86,60 kWh/(m²·a)",Strom,I.W.A.- Koschella Immobilien GmbH,blank,blank,sofort,hessen,2024-06-17 14:53:26
4,https://www.immowelt.de/expose/2e56l5q,2e56l5q,AC RE 1178-21_WE53,apartment,"""BS LIVING"" 3 Zimmer Neubau - Penthousewohnung mit Küche und Dachterrasse in Offenbach",Offenbach am Main,Straße nicht freigegeben,63075,2022,5. Geschoss,Gewerblicher Anbieter,3,"85,97 m²",blank,474.000 €,blank,Fußbodenheizung,A,Wohngebäude,Bedarfsausweis,bis 05.08.2031,"40,60 kWh/(m²·a)",PELLET,Aurelion & Company GmbH,Erstbezug,Penthouse,blank,hessen,2024-06-17 14:53:30
5,https://www.immowelt.de/expose/2elek5q,2elek5q,S36815,apartment,Königstein: Kapitalanlage! Gemütliche 2-Zimmerwohnung in toller Ruhelage,Königstein,Straße nicht freigegeben,61462,1974,blank,Gewerblicher Anbieter,2,58 m²,blank,199.000 €,Öl,blank,blank,blank,blank,blank,blank,blank,Adler Immobilien,blank,blank,vermietet,hessen,2024-06-17 14:53:33
6,https://www.immowelt.de/expose/2ehgj5q,2ehgj5q,2183305_0807D24,apartment,3-Zimmer-Wohnung + ohne Provision +,Kirtorf,Straße nicht freigegeben,36320,blank,blank,Gewerblicher Anbieter,4,92 m²,blank,38.000 €,blank,blank,blank,blank,blank,blank,blank,blank,AZ Agentur für Zwangsversteigerungsinformationen GmbH,blank,blank,blank,hessen,2024-06-17 14:53:36
7,https://www.immowelt.de/expose/2eggj5q,2eggj5q,2183304_0807D24,apartment,3-Zimmer-Wohnung + ohne Provision +,Kirtorf,Straße nicht freigegeben,36320,blank,blank,Gewerblicher Anbieter,3,61 m²,blank,24.500 €,blank,blank,blank,blank,blank,blank,blank,blank,AZ Agentur für Zwangsversteigerungsinformationen GmbH,blank,blank,blank,hessen,2024-06-17 14:53:40
8,https://www.immowelt.de/expose/2egrh5q,2egrh5q,2184077_3008D24,apartment,6-Zimmer-Wohnung mit Balkon + provisionsfrei +,Viernheim,Straße nicht freigegeben,68519,blank,blank,Gewerblicher Anbieter,6,155 m²,blank,345.000 €,blank,blank,blank,blank,blank,blank,blank,blank,AZ Agentur für Zwangsversteigerungsinformationen GmbH,blank,blank,blank,hessen,2024-06-17 14:53:43
9,https://www.immowelt.de/expose/2eb945p,2eb945p,Kastanienhain_1.5,apartment,"Ihre neue, großzügige 2-ZW am Waldrand | Schlafzimmer mit Ankleide & Gäste-WC | Kleines MFH mit 7 WE",Königstein im Taunus(Mammolshain),Straße nicht freigegeben,61462,2024,1. Geschoss,Gewerblicher Anbieter,2,"66,20 m²",blank,421.800 €,blank,"Luft-/Wasser-Wärmepumpe, Zentralheizung",A+,Wohngebäude,Bedarfsausweis,bis 15.12.2030,"18,60 kWh/(m²·a)",LUFTWP,Lechner Immobilien Development GmbH,Erstbezug,blank,Q4 2024,hessen,2024-06-17 14:53:47
