,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
0,https://www.immowelt.de/expose/2e35s5r,2e35s5r,LF52OG4.6WE,apartment,sofort verfügbare 4 Raumwohnung!,Greifswald(Südstadt),Straße nicht freigegeben,17491,2024,2. Geschoss,Gewerblicher Anbieter,4,"98,35 m²",blank,399.500 €,blank,Fußbodenheizung,B,Wohngebäude,Bedarfsausweis,23.12.2021 bis 22.12.2031,"55,60 kWh/(m²·a)",blank,Golling Immobilien,Erstbezug,blank,sofort möglich,mecklenburg-vorpommern,2024-06-17 09:08:34
1,https://www.immowelt.de/expose/24ubg5f,24ubg5f,99,apartment,5-Zimmer Penthaus mit sonniger Dachterrasse,Greifswald(Fettenvorstadt),Straße nicht freigegeben,17489,2023,3. Geschoss,Gewerblicher Anbieter,5,"130,88 m²",blank,589.000 €,blank,Fußbodenheizung,blank,blank,blank,blank,blank,blank,Global Management Glavac GmbH,Neubau,blank,Mai 2024,mecklenburg-vorpommern,2024-06-17 09:08:38
2,https://www.immowelt.de/expose/2zqkm4f,2zqkm4f,90,apartment,4-Zimmer Eigentumswohnung mit Balkon & Loggia,Greifswald(Fettenvorstadt),Straße nicht freigegeben,17489,2023,1. Geschoss,Gewerblicher Anbieter,4,"113,11 m²",blank,452.000 €,blank,Fußbodenheizung,blank,blank,blank,blank,blank,blank,Global Management Glavac GmbH,Neubau,blank,Mai 2024,mecklenburg-vorpommern,2024-06-17 09:08:41
3,https://www.immowelt.de/expose/2ezsv5q,2ezsv5q,blank,apartment,Effizienzhaus!!!! Ferienwohnung ERSTE Reihe beste Lage Altstadt Sassnitz mit Ostseeblick,Sassnitz,Ringstraße 4,18546,2009,1. Geschoss (Erdgeschoss),Gewerblicher Anbieter,3,"48,71 m²",blank,365.325 €,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe, Zentralheizung",A+,Wohngebäude,Bedarfsausweis,10.01.2024 bis 09.01.2034,"18,00 kWh/(m²·a)",Wärmepumpe,AND Immobilien Projektentwicklungs- & Vertriebs GmbH,Neubau,blank,2024,mecklenburg-vorpommern,2024-06-17 09:08:45
4,https://www.immowelt.de/expose/2e9775q,2e9775q,2024181,apartment,Exklusive 3 Zimmer Ferienwohnung nahe Seebrücke und Wilhelmstraße im Ostseebad Sellin!  Süd-Balkon!,Sellin,Kirchstraße 2,18586,2011,1. Geschoss,Gewerblicher Anbieter,3,67 m²,blank,398.000 €,blank,Zentralheizung,B,Wohngebäude,Verbrauchsausweis,02.11.2021 bis 01.11.2031,"68,00 kWh/(m²·a)  - Warmwasser enthalten",GAS,2CK-immobilien,blank,blank,nach Vereinbarung,mecklenburg-vorpommern,2024-06-17 09:08:48
5,https://www.immowelt.de/expose/2egby5p,2egby5p,2276-2702,apartment,Ihr Feriendomizil zum Wohlfühlen im Seepark Bansin,Seebad Bansin,Straße nicht freigegeben,17429,1998,1. Geschoss,Gewerblicher Anbieter,3,60 m²,blank,250.000 €,blank,blank,D,Wohngebäude,Verbrauchsausweis,29.05.2024 bis 29.05.2034,"103,10 kWh/(m²·a)  - Warmwasser enthalten",Erdgas leicht,"Sparkasse Vorpommern, in Vertretung der LBS Immobilien GmbH",gepflegt,blank,sofort,mecklenburg-vorpommern,2024-06-17 09:08:52
6,https://www.immowelt.de/expose/2emha5n,2emha5n,190,apartment,Villa Strandnah- WE 6 in Börgerende,Börgerende,Parkstraße 32,18211,2011,1. Geschoss,Gewerblicher Anbieter,2,"71,40 m²",blank,375.000 €,blank,Fußbodenheizung,B,Wohngebäude,Bedarfsausweis,20.07.2022 bis 05.03.2033,"62,70 kWh/(m²·a)",Gas,W & N Immobilien Vertriebs-GmbH,blank,blank,blank,mecklenburg-vorpommern,2024-06-17 09:08:55
7,https://www.immowelt.de/expose/2eefa5l,2eefa5l,Bism    14,apartment,Exklusive 2-Raum-Wohnung in Seebad Ahlbeck - Kamin und Balkon - Sauna im Haus,Seebad Ahlbeck,Bismarckstraße 5 a,17419,2007,2. Geschoss (Dachgeschoss),Gewerblicher Anbieter,2,56 m²,blank,425.000 €,blank,Zentralheizung,blank,blank,blank,blank,blank,blank,Brise Immobilien,gepflegt,blank,blank,mecklenburg-vorpommern,2024-06-17 09:08:59
8,https://www.immowelt.de/expose/2eehf5k,2eehf5k,VIlse    1,apartment,2-Raum-Eigentumswohnung mit Blick ins Grüne - Vermietung oder Eigennutzung,Seebad Heringsdorf(Neuhof),Labahnstraße 31 a,17424,2014,Erdgeschoss,Gewerblicher Anbieter,2,45 m²,blank,260.000 €,blank,Zentralheizung,blank,blank,blank,blank,blank,blank,Brise Immobilien,blank,blank,blank,mecklenburg-vorpommern,2024-06-17 09:09:03
9,https://www.immowelt.de/expose/2ey465k,2ey465k,2424-2733-3,apartment,Feriendomizil Putbus,Putbus,Straße nicht freigegeben,18581,1993,1. Geschoss,Gewerblicher Anbieter,3,"53,07 m²",blank,"301.309,19 €",blank,Fußbodenheizung,C,Wohngebäude,Bedarfsausweis,15.01.2023 bis 15.01.2033,"89,00 kWh/(m²·a)","Gas, Elektroenergie","Sparkasse Vorpommern, in Vertretung der LBS Immobilien GmbH",blank,blank,nach Vereinbarung,mecklenburg-vorpommern,2024-06-17 09:09:06
10,https://www.immowelt.de/expose/2ev465k,2ev465k,2424-2733-2,apartment,Feriendomizil Putbus,Putbus,Straße nicht freigegeben,18581,1993,Erdgeschoss,Gewerblicher Anbieter,1,"32,87 m²",blank,"197.945,79 €",blank,"Fußbodenheizung, Zentralheizung",C,Wohngebäude,Bedarfsausweis,15.01.2023 bis 15.01.2033,"89,00 kWh/(m²·a)","Gas, Elektroenergie","Sparkasse Vorpommern, in Vertretung der LBS Immobilien GmbH",blank,blank,nach Vereinbarung,mecklenburg-vorpommern,2024-06-17 09:09:10
11,https://www.immowelt.de/expose/2er465k,2er465k,2424-2733-1,apartment,Feriendomizil Putbus,Putbus,Straße nicht freigegeben,18581,1993,Erdgeschoss,Gewerblicher Anbieter,2,"49,25 m²",blank,"281.762,25 €",blank,"Fußbodenheizung, Zentralheizung",C,Wohngebäude,Bedarfsausweis,15.01.2023 bis 15.01.2033,"89,00 kWh/(m²·a)","Gas, Elektroenergie","Sparkasse Vorpommern, in Vertretung der LBS Immobilien GmbH",blank,blank,nach Vereinbarung,mecklenburg-vorpommern,2024-06-17 09:09:13
12,https://www.immowelt.de/expose/2elqr5j,2elqr5j,2926,apartment,AAA-Lage an der Seebrücke! Villa Charlotte: Exklusive und ruhige Strandwohnung mit südlichem Garten,Binz,Straße nicht freigegeben,18609,2021,Erdgeschoss,Gewerblicher Anbieter,3,88 m²,blank,1.835.000 €,blank,Fußbodenheizung,A,Wohngebäude,Bedarfsausweis,bis 02.11.2030,"23,00 kWh/(m²·a)",GAS,Ostsee MV Sothebys International Realty,blank,Terrassenwohnung,sofort,mecklenburg-vorpommern,2024-06-17 09:09:17
13,https://www.immowelt.de/expose/2e2gf5h,2e2gf5h,I-00Y7UT-W-02VGIE,apartment,Strand- und zentrumnahes Apartment im Ostseebad Binz,Ostseebad Binz,Straße nicht freigegeben,18609,1920,1. Geschoss,Gewerblicher Anbieter,2,55 m²,blank,339.000 €,Gas,blank,D,Wohngebäude,Verbrauchsausweis,seit 17.01.2020,"115,00 kWh/(m²·a)",blank,EuV Ostsee GmbH,gepflegt,blank,nach Vereinbarung,mecklenburg-vorpommern,2024-06-17 09:09:20
14,https://www.immowelt.de/expose/2ezrz5e,2ezrz5e,002,apartment,Ihr neues Zuhause in Erster Reihe mit Wasserblick incl. Tiefgarage!,Rostock(Hohe Düne),Straße nicht freigegeben,18119,2007,Erdgeschoss,Gewerblicher Anbieter,3,73 m²,blank,429.000 €,blank,Zentralheizung,C,Wohngebäude,Bedarfsausweis,seit 01.05.2014,"78,03 kWh/(m²·a)",blank,Baltic Prime Baugesellschaft mbH,blank,Terrassenwohnung,2007,mecklenburg-vorpommern,2024-06-17 09:09:23
15,https://www.immowelt.de/expose/2eb6p5e,2eb6p5e,WU-133-2024,apartment,ZWEI Ferienwohnungen gleich EINE mit Ostseeblick,Wustrow,Straße nicht freigegeben,18347,2001,1. Geschoss,Gewerblicher Anbieter,3,"95,59 m²",blank,790.000 €,blank,Zentralheizung,A+,Wohngebäude,Verbrauchsausweis,08.11.2019 bis 07.11.2029,"22,10 kWh/(m²·a)  - Warmwasser enthalten",Erdgas E,reiser immobilien,gepflegt,blank,sofort,mecklenburg-vorpommern,2024-06-17 09:09:27
16,https://www.immowelt.de/expose/2e7rm5e,2e7rm5e,423,apartment,"Aufwachen mit Meeresrauschen...., 2-Zimmer-Eigentumswohnung nur 70m bis zum Strand!",Boltenhagen(Ostseebad Boltenhagen),Straße nicht freigegeben,23946,1997,Erdgeschoss,Gewerblicher Anbieter,2,"47,95 m²",blank,254.000 €,blank,Zentralheizung,blank,Wohngebäude,Verbrauchsausweis,01.02.2019 bis 01.02.2029,"84,00 kWh/(m²·a)  - Warmwasser enthalten",Gas,Boltenhagener Appartement und Immobilien Service GmbH,gepflegt,Terrassenwohnung,nach Vereinbarung,mecklenburg-vorpommern,2024-06-17 09:09:30
