,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
0,https://www.immowelt.de/expose/2exbm5r,2exbm5r,0630,apartment,Helle 1-Raum-Wohnung im Grünen mit Stellplatz,Magdeburg(Stadtfeld West),Straße nicht freigegeben,39110,1913,2. Geschoss,Gewerblicher Anbieter,1,"47,91 m²",blank,70.000 €,"Erdwärme, Gas",blank,blank,blank,blank,blank,blank,blank,Frank Büschel Immobilien GbR,gepflegt,blank,blank,sachsen-anhalt,2024-06-16 18:07:33
1,https://www.immowelt.de/expose/2exha5n,2exha5n,55052#MVDR5I,apartment,Erstbezug nach Renovierung: 3-Zimmer-Wohnung plus Souterrain mit Terrasse und Garten in Zschöchergen,Leuna(Kötschlitz),Straße nicht freigegeben,06254,1994,blank,Gewerblicher Anbieter,4,"94,55 m²",blank,auf Anfrage,blank,Zentralheizung,blank,Wohngebäude,Verbrauchsausweis,20.04.2021 bis 19.04.2031,"83,00 kWh/(m²·a)",Gas,Auktion & Markt AG propertybid.de,gepflegt,Maisonette,nach Absprache,sachsen-anhalt,2024-06-16 18:07:35
2,https://www.immowelt.de/expose/2eqmt5k,2eqmt5k,WNJ5M34X,apartment,"Zentrumsnah: Erdgeschosswohnung mit EBK, Tageslichtbad und Stellplatz in schönem Altbau",Magdeburg(Sudenburg),Straße nicht freigegeben,39112,1920,Erdgeschoss,Gewerblicher Anbieter,3,68 m²,blank,110.000 €,blank,Zentralheizung,blank,blank,blank,blank,blank,blank,Homeday GmbH,gepflegt,blank,nach Vereinbarung,sachsen-anhalt,2024-06-16 18:07:38
3,https://www.immowelt.de/expose/2eygz5g,2eygz5g,231159 A,apartment,IMMOBERLIN.DE - Angenehme Wohnung mit Südterrasse in ruhiger Lage,Magdeburg(Neue Neustadt),Straße nicht freigegeben,39124,blank,blank,Gewerblicher Anbieter,2,40 m²,blank,60.000 €,blank,blank,blank,Wohngebäude,Verbrauchsausweis,blank,"100,70 kWh/(m²·a)  - Warmwasser enthalten",Erdgas H,IMMOBERLIN Inhaber Carsten D. Topel,blank,blank,blank,sachsen-anhalt,2024-06-16 18:07:41
4,https://www.immowelt.de/expose/2dkn45y,2dkn45y,95496,apartment,Moderne Dachgeschosswohnung in idyllischer Lage der Landeshauptstadt Magdeburg,Magdeburg(Stadtfeld West),Sperlingweg 8,39110,1997,2. Geschoss (Dachgeschoss),Gewerblicher Anbieter,2,"52,63 m²",blank,125.000 €,blank,Zentralheizung,C,Wohngebäude,Verbrauchsausweis,blank,"77,00 kWh/(m²·a)",Erdgas leicht,basis d GmbH,renoviert / saniert,blank,sofort,sachsen-anhalt,2024-06-16 18:07:44
5,https://www.immowelt.de/expose/2cnd45z,2cnd45z,0202-14,apartment,Ruhiges Wohnen in 2. Reihe!,Magdeburg(Neue Neustadt),Abendstraße 19,39124,2024,1. Geschoss,Gewerblicher Anbieter,3,"76,53 m²",blank,290.814 €,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe",A+,Wohngebäude,Bedarfsausweis,30.11.2023 bis 30.11.2033,"17,00 kWh/(m²·a)",Alternative Energieträger,Frank Büschel Immobilien GbR,Erstbezug,blank,sofort,sachsen-anhalt,2024-06-16 18:07:47
6,https://www.immowelt.de/expose/2clvx5l,2clvx5l,blank,apartment,Top Ausstattung mit 2x PKW- Stellplätzen und Süd-West-Balkon,Magdeburg(Cracau),Straße nicht freigegeben,39114,1996,1. Geschoss,Gewerblicher Anbieter,3,71 m²,blank,145.000 €,Fernwärme,blank,D,Wohngebäude,Verbrauchsausweis,04.09.2018 bis 04.09.2028,"103,00 kWh/(m²·a)",Gas,M&K Immobilien e.K.,gepflegt,blank,blank,sachsen-anhalt,2024-06-16 18:07:50
7,https://www.immowelt.de/expose/2cwet54,2cwet54,79711,apartment,Gut ausgestattete Dachgeschosswohnung in der Landeshauptstadt Magdeburg,Magdeburg(Neue Neustadt),Straße nicht freigegeben,39124,1935,3. Geschoss (Dachgeschoss),Gewerblicher Anbieter,3,"65,90 m²",blank,90.000 €,blank,Zentralheizung,E,Wohngebäude,Verbrauchsausweis,blank,"136,00 kWh/(m²·a)",Erdgas schwer,basis d GmbH,renoviert / saniert,blank,sofort,sachsen-anhalt,2024-06-16 18:07:53
8,https://www.immowelt.de/expose/2dxqj5q,2dxqj5q,894,apartment,"Traumhafte Wohnung mit viel Platz, gemütlicher Terrasse im Grünen und 4 PKW Stellplätzen.",Merseburg,Straße nicht freigegeben,06217,blank,Erdgeschoss,Gewerblicher Anbieter,6,160 m²,blank,199.000 €,Fernwärme,blank,B,Wohngebäude,Verbrauchsausweis,bis 08.10.2028,"72,00 kWh/(m²·a)  - Warmwasser enthalten",FERN,Dumont Immobilienservice Inh. Karsten Dumont,blank,blank,blank,sachsen-anhalt,2024-06-16 18:07:56
9,https://www.immowelt.de/expose/24pkr5v,24pkr5v,026-2022,apartment,gemütliche 2-Raum Wohnungen - ruhige Wohngegend - gepflegtes Haus,Karsdorf(Wetzendorf),Straße nicht freigegeben,06638,1958,1. Geschoss,Gewerblicher Anbieter,2,53 m²,blank,29.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,07.11.2018 bis 07.11.2028,"102,00 kWh/(m²·a)",Fernwärme,DREIFACHMAKLER GmbH,blank,blank,sofort,sachsen-anhalt,2024-06-16 18:07:59
