,property_webpage,online_id,ref_number,property_type,title_property,city,address,postal_code,construction_year,floor,commercial_or_private_provider_property,property_rooms,property_area,plot_area,property_price,energy_provider,form_of_heating,energy_class,energy_buildingtype,energy_passtype,energy_vadility,energy_consumption,energy_source,offerer_name,property_condition,category_of_house,property_possible_move,german_state,delivery_time
0,https://www.immowelt.de/expose/2e5xh5q,2e5xh5q,O3318,apartment,"Helle, stilvolle 3-Zimmer-Maisonettewohnung mit Doppelparker in der Tiefgarage",Weißenborn,Straße nicht freigegeben,07639,1994,Dachgeschoss,Gewerblicher Anbieter,3,62 m²,blank,97.500 €,Gas,blank,blank,Wohngebäude,Verbrauchsausweis,07.02.2014 bis 31.12.2024,"234,00 kWh/(m²·a)",Gas,vbi IMMOBILIENSERVICE in Thüringen GmbH,gepflegt,Maisonette,blank,thueringen,2024-06-16 16:39:45
1,https://www.immowelt.de/expose/2eppl5d,2eppl5d,WE 01.02,apartment,"Wohnanlage ""Panoramablick"" mit Aufzug, Forstweg 33A, Jena-Süd, Eigentumswohnungen 3 bis 5 Zimmer, 58 qm bis 122 qm",Jena(Süd),Forstweg 33A,07745,2024,Erdgeschoss,Gewerblicher Anbieter,4,"96,40 m²",blank,auf Anfrage,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe",A,Wohngebäude,Bedarfsausweis,seit 04.05.2023,"29,70 kWh/(m²·a)","Erdgas E, Strom-Mix",BF Bauträger & Projektmanagement GmbH,Erstbezug,blank,2026,thueringen,2024-06-16 16:39:48
2,https://www.immowelt.de/expose/2erdl5d,2erdl5d,WE 01.01,apartment,"Wohnanlage ""Panoramablick"" mit Aufzug, Forstweg 33A, Jena-Süd, 3 bis 5 Zimmer, 58 qm bis 122 qm",Jena(Süd),Forstweg 33A,07745,2024,Erdgeschoss,Gewerblicher Anbieter,4,"108,59 m²",blank,auf Anfrage,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe",A,Wohngebäude,Bedarfsausweis,seit 04.05.2023,"29,70 kWh/(m²·a)","Erdgas E, Strom-Mix",BF Bauträger & Projektmanagement GmbH,Erstbezug,blank,2026,thueringen,2024-06-16 16:39:51
3,https://www.immowelt.de/expose/2es7p5q,2es7p5q,blank,apartment,****Luxus-Single-Wohnung (Neubau) im Zentrum von Weimar *Provisionsfrei* (WE13)****,Weimar(Nordvorstadt),Friedrich Ebert Straße 9,99423,2023,2. Geschoss,Gewerblicher Anbieter,2,"61,01 m²",blank,"277.595,50 €",blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe",A,Wohngebäude,Verbrauchsausweis,01.07.2022 bis 01.07.2032,"33,00 kWh/(m²·a)",Erdgas + Erneuerbare Energien,TW Wohnbau Gruppe,Erstbezug,blank,2024,thueringen,2024-06-16 16:39:54
4,https://www.immowelt.de/expose/2epyj5h,2epyj5h,blank,apartment,==Modern gestaltete 5.Zimmerwohnung zum super Preis==,Gera(Pforten),Tschirchstr.16,07545,blank,2. Geschoss,Gewerblicher Anbieter,5,112 m²,blank,110.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,blank,"124,20 kWh/(m²·a)  - Warmwasser enthalten",blank,MB-Immobilien Gera,renoviert / saniert,blank,sofort,thueringen,2024-06-16 16:39:57
5,https://www.immowelt.de/expose/2edm852,2edm852,VerkaufAdPa-W06,apartment,Dachgeschosswohnung mit ausgebautem Spitzboden,Wohlsborn,An den Pappeln 7,99439,1996,3. Geschoss (Dachgeschoss),Gewerblicher Anbieter,4,80 m²,blank,112.000 €,blank,Zentralheizung,D,Wohngebäude,Verbrauchsausweis,11.06.2020 bis 11.06.2030,"115,40 kWh/(m²·a)  - Warmwasser enthalten",Erdgas H,Hestia Immobilienverwaltung e.K.,gepflegt,blank,blank,thueringen,2024-06-16 16:40:00
6,https://www.immowelt.de/expose/2bwkh5p,2bwkh5p,blank,apartment,ETW im Damenviertel WE 3,Jena(Nord),Sophienstraße 51,07743,2024,1. Geschoss,Gewerblicher Anbieter,3,"89,80 m²",blank,493.900 €,blank,Fußbodenheizung,B,Wohngebäude,Bedarfsausweis,30.05.2023 bis 30.05.2033,"68,00 kWh/(m²·a)",blank,TW Wohnbau Gruppe,Neubau,blank,2025,thueringen,2024-06-16 16:40:03
7,https://www.immowelt.de/expose/2bv8j5d,2bv8j5d,2023-159,apartment,"KAPITALANLAGE in Volkstedt-West: Gemütliche 2-Raum-Wohnung mit Abstellraum, Gartenanteil und Parkplatz | Gute Infrastruktur und grüne Umgebung!",Rudolstadt / Volkstedt,Zeigerheimer Straße 43,07407,blank,blank,Gewerblicher Anbieter,2,"51,23 m²",blank,74.000 €,blank,Zentralheizung,blank,blank,blank,blank,blank,blank,Immobilien Stephan Meier,renoviert / saniert,blank,blank,thueringen,2024-06-16 16:40:05
8,https://www.immowelt.de/expose/2ax5w5x,2ax5w5x,0-1858,apartment,Vermietete Eigentumswohnung in ruhiger Lage in Heilbad Heiligenstadt,Heilbad Heiligenstadt,Straße nicht freigegeben,37308,1998,2. Geschoss,Gewerblicher Anbieter,2,78 m²,blank,129.000 €,blank,Zentralheizung,B,Wohngebäude,Verbrauchsausweis,seit 25.01.2016,"59,50 kWh/(m²·a)",Erdgas,Volksbank Kassel Göttingen eG,blank,blank,vermietet,thueringen,2024-06-16 16:40:08
9,https://www.immowelt.de/expose/268s45a,268s45a,blank,apartment,großzügige Erdgeschosswohnung mit Garten im Zentrum von Weimar (WE04) *Provisionsfrei*,Weimar(Nordvorstadt),Friedrich Ebert Straße 9,99423,2023,Erdgeschoss,Gewerblicher Anbieter,4,"126,39 m²",blank,556.116 €,blank,"Fußbodenheizung, Luft-/Wasser-Wärmepumpe",A,Wohngebäude,Verbrauchsausweis,01.07.2022 bis 01.07.2032,"33,00 kWh/(m²·a)  - Warmwasser enthalten",Erdgas + Erneuerbare Enerdien,TW Wohnbau Gruppe,Erstbezug,Terrassenwohnung,2024,thueringen,2024-06-16 16:40:11
